id,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,rooms,squareFootage,lotSize,yearBuilt,lastSaleDate,lastSaleAmount,priorSaleDate,priorSaleAmount,estimated_value
153665665,8890 W Tanforan Dr,Denver,CO,80123,39.630738,-105.097718,3,3,6,1804,7439,1983,2013-08-14,249700,2000-09-07,217900,386694
39868673,5538 W Prentice Cir,Denver,CO,80123,39.620625,-105.059503,4,5,8,3855,9656,1998,2004-08-17,580000,1999-01-11,574000,784587
184328555,4254 W Monmouth Ave,Denver,CO,80123,39.629,-105.04233,2,2,4,1297,16600,1962,2011-11-07,150000,,,354031
30554949,6600 W Berry Ave,Denver,CO,80123,39.616165,-105.069424,4,4,9,2321,5961,1996,2006-01-18,402800,2004-08-16,335000,515537
24157982,6560 W Sumac Ave,Denver,CO,80123,39.614712,-105.069264,4,4,8,2321,6337,1997,2013-12-31,422000,2012-11-05,399000,544960
51335315,5655 S Fenton St,Denver,CO,80123,39.615488,-105.060173,3,3,7,2321,6151,1998,1999-12-02,277900,,,504791
152799217,5626 S Fenton St,Denver,CO,80123,39.616153,-105.059696,3,3,7,2071,6831,1999,2000-02-04,271800,,,495121
51330641,5599 S Fenton St,Denver,CO,80123,39.616514,-105.060193,3,3,7,2071,6050,1998,1999-10-20,274400,,,495894
15598828,6595 W Sumac Ave,Denver,CO,80123,39.615144,-105.069803,3,3,7,2074,6022,1996,2007-11-30,314500,,,496281
49360310,6420 W Sumac Ave,Denver,CO,80123,39.614531,-105.067815,4,4,9,2588,6432,1996,2001-12-31,342500,,,528343
39777745,4962 S Field Ct,Denver,CO,80123,39.625819,-105.099825,3,2,7,1567,6914,1980,2016-12-02,328000,2016-08-02,231200,349041
18021201,9664 W Grand Ave,Denver,CO,80123,39.625826,-105.106423,3,2,5,1317,9580,1983,2017-06-21,376000,2008-02-29,244000,367754
39776096,4881 S Jellison St,Denver,CO,80123,39.628401,-105.10844,3,3,5,1317,6718,1982,2004-08-31,225000,,,356934
29850085,5012 S Field Ct,Denver,CO,80123,39.625537,-105.099012,2,2,6,808,8568,1980,2016-09-06,310000,2015-09-15,258900,346001
51597934,4982 S Field Ct,Denver,CO,80123,39.625757,-105.099484,2,1,6,808,6858,1980,1999-12-06,128000,,,342927
39563379,4643 S Hoyt St,Denver,CO,80123,39.632457,-105.104752,3,2,6,1321,6000,1978,2004-04-28,197000,,,337969
18922140,5965 W Sumac Ave,Denver,CO,80123,39.615199,-105.062378,3,4,8,2350,6839,1997,2011-08-11,365000,2004-08-04,365000,500105
39914328,9740 W Chenango Ave,Denver,CO,80123,39.627226,-105.107806,2,2,5,1586,6510,1982,2015-07-08,302000,2004-07-15,210000,353827
51323181,5520 W Prentice Cir,Denver,CO,80123,39.620548,-105.0586,2,4,6,2613,8250,1998,2000-02-10,425000,1999-04-08,396500,693035
3493378,4665 S Garland Way,Denver,CO,80123,39.632063,-105.101493,3,2,8,1590,7044,1977,2016-02-26,275000,2004-12-03,204000,350857
4115341,5466 W Prentice Cir,Denver,CO,80123,39.619027,-105.057427,3,5,7,2614,9350,1999,2005-08-29,580000,1999-09-10,398200,716655
39639069,5735 W Berry Ave,Denver,CO,80123,39.617727,-105.059123,3,4,7,2107,6491,1998,2004-06-30,355000,2001-02-22,320000,493156
184333944,9015 W Tanforan Dr,Denver,CO,80123,39.631178,-105.099179,2,1,5,1340,6741,1982,2015-05-26,90000,1983-06-01,80000,349355
18197471,4977 S Garland St,Denver,CO,80123,39.62608,-105.10347,3,2,6,1085,6120,1985,2017-06-08,312500,2017-05-12,258000,348079
49430482,9540 W Bellwood Pl,Denver,CO,80123,39.624558,-105.104316,3,1,6,1085,13500,1981,2001-04-27,184000,1999-11-10,164900,343957
39868648,5535 S Fenton St,Denver,CO,80123,39.617145,-105.060195,4,3,8,2365,6050,1998,2004-02-08,335000,2001-05-08,339950,504705
143684222,3761 W Wagon Trail Dr,Denver,CO,80123,39.631251,-105.036567,3,2,5,1344,9240,1959,2016-10-17,290000,,70200,311996
152898579,4850 S Yukon St,Denver,CO,80123,39.629025,-105.081998,2,3,5,1601,6660,1986,2010-09-02,260000,1998-04-14,189900,391469
43174426,4951 S Ammons St,Denver,CO,80123,39.626582,-105.08725,3,2,8,1858,6890,1986,2012-07-30,231600,2012-03-30,0,418814
39615194,7400 W Grant Ranch Blvd # 31,Denver,CO,80123,39.61844,-105.0799,2,2,5,1603,5742,1997,2013-10-24,400000,2004-08-04,388400,502894
184340029,7400 W Grant Ranch Blvd # 7,Denver,CO,80123,39.61844,-105.0799,2,2,5,1603,6168,1997,2004-11-19,350000,1998-10-05,292400,478049
3523919,5425 S Gray St,Denver,CO,80123,39.618265,-105.061397,3,3,7,1860,6838,1998,2005-06-23,295000,2004-07-26,300000,475615
151444231,6610 W Berry Ave,Denver,CO,80123,39.616148,-105.069618,3,4,8,2376,5760,1996,2009-06-24,404500,2000-05-04,304900,521467
19150871,4756 S Perry St,Denver,CO,80123,39.630389,-105.038707,3,2,5,1355,9600,1960,1999-12-14,153500,1999-12-14,153500,366187
39545155,4328 W Bellewood Dr,Denver,CO,80123,39.627883,-105.042611,2,2,6,1867,11000,1973,2004-05-25,208000,,,386913
3523923,6585 W Sumac Ave,Denver,CO,80123,39.615145,-105.069604,3,3,7,2382,5830,1996,2016-10-20,502000,2005-05-31,357000,527104
51337334,5737 W Alamo Dr,Denver,CO,80123,39.615881,-105.059085,3,3,6,1872,5500,1999,2013-04-05,369000,2000-08-07,253000,497239
39856820,3801 W Wagon Trail Dr,Denver,CO,80123,39.631253,-105.037115,3,1,6,1105,9240,1959,2004-08-30,190000,,,319953
10173489,8501 W Union Ave # 16,Denver,CO,80123,39.63164,-105.09306,3,3,6,1617,6250,1995,2006-10-20,245000,2004-07-21,245000,385132
51331571,5640 S Marshall St,Denver,CO,80123,39.615763,-105.068328,4,4,8,2386,5830,1997,1999-11-05,315000,1998-07-09,249100,548067
14626068,4641 S Iris St,Denver,CO,80123,39.632441,-105.106514,3,2,6,1626,6000,1978,2007-09-09,224950,,,349467
26784182,9850 W Wagon Trail Dr,Denver,CO,80123,39.630317,-105.107313,4,3,8,1883,8000,1981,2001-06-15,234400,,,385994
8838041,5305 S Ingalls St,Denver,CO,80123,39.62102,-105.064383,3,3,7,1884,5191,1998,2005-11-01,308000,1999-08-23,211300,443028
17056170,3979 W Chenango Ave,Denver,CO,80123,39.62976,-105.038706,3,2,5,1118,12200,1961,2009-12-23,171222,2009-06-19,0,348035
18370763,3779 W Chenango Ave,Denver,CO,80123,39.628086,-105.03614,3,2,5,1118,11300,1959,2014-06-18,262500,2008-12-26,220000,378509
25572254,4992 S Hoyt St,Denver,CO,80123,39.62623,-105.104133,3,2,6,1118,6500,1981,2008-09-22,235680,2004-07-30,232900,353234
16334080,4880 S Garrison St,Denver,CO,80123,39.626836,-105.10161,3,2,5,1118,6800,1980,2013-07-29,205000,,,356281
148264301,5541 S Eaton St,Denver,CO,80123,39.616991,-105.059143,3,3,6,1888,6148,1998,2010-01-29,324500,2005-09-15,310000,495748
51118506,8992 W Layton Ave,Denver,CO,80123,39.63007,-105.098819,4,2,6,1890,6600,1981,2017-01-10,340000,2011-08-03,210000,353391
9038478,9672 W Dumbarton Pl,Denver,CO,80123,39.626546,-105.10669,2,2,5,1635,6320,1983,2016-04-05,295000,2006-05-23,211000,351390
43174787,4972 S Iris St,Denver,CO,80123,39.626218,-105.106825,3,2,6,1635,6460,1983,2003-08-07,214000,1999-06-03,162500,350803
39775875,4864 S Johnson St,Denver,CO,80123,39.629189,-105.108407,2,2,5,1635,6500,1982,2012-10-12,210000,2004-09-14,192000,354760
268405,9680 W Bellwood Pl,Denver,CO,80123,39.624558,-105.106515,4,2,7,1635,9120,1983,2007-09-25,222000,2006-02-16,0,355125
51201357,4885 S Jellison St,Denver,CO,80123,39.628219,-105.108436,4,2,7,1635,6500,1982,2000-01-05,158000,,,355605
10173490,4633 S Dudley St,Denver,CO,80123,39.632566,-105.095517,2,2,5,1892,7100,1979,2011-11-16,221000,2006-10-19,231000,357373
51110052,8924 W Stetson Pl,Denver,CO,80123,39.633687,-105.09749,4,2,6,1892,6620,1979,1999-08-02,152000,,,353894
39615196,7400 W Grant Ranch Blvd # 36,Denver,CO,80123,39.61844,-105.0799,2,4,5,1638,4936,1996,2015-02-24,465000,2004-07-07,384000,483176
39826957,5251 S Ingalls St,Denver,CO,80123,39.621818,-105.06412,3,4,7,1897,5880,1998,2010-04-12,339950,2004-07-30,311750,479489
51527696,6900 W Grant Ranch Blvd # 46,Denver,CO,80123,39.618343,-105.077086,3,3,7,2155,5550,1999,2000-02-04,319700,,,484628
184340023,6900 W Grant Ranch Blvd # 82,Denver,CO,80123,39.618343,-105.077086,2,3,7,2155,4382,1998,2016-05-23,455000,1999-08-03,291500,491508
39861244,9012 W Layton Ave,Denver,CO,80123,39.63007,-105.099032,3,2,7,2159,6600,1981,2004-08-03,254500,,,376285
184328774,4643 S Jellison St,Denver,CO,80123,39.632471,-105.10742,2,2,5,880,6410,1978,2015-09-23,295000,,,325563
143045340,9082 W Layton Ave,Denver,CO,80123,39.629976,-105.099657,3,2,6,1649,6770,1981,2016-04-14,320000,2010-04-19,234900,356593
155300236,5042 S Hoyt St,Denver,CO,80123,39.62546,-105.10406,3,2,6,1140,7850,1981,2013-11-12,230000,2004-06-29,228000,352755
46340060,9085 W Bellwood Pl,Denver,CO,80123,39.625018,-105.100617,3,2,6,1140,6500,1981,2017-05-17,350000,2002-03-12,200000,352696
19591629,9040 W Bellwood Pl,Denver,CO,80123,39.624564,-105.099651,3,2,5,1140,7800,1980,2004-04-10,219070,,,344736
16334075,4891 S Garrison St,Denver,CO,80123,39.626805,-105.102191,3,1,6,1140,6910,1981,2004-07-15,187800,,,332283
151444226,6590 W Alamo Dr,Denver,CO,80123,39.615435,-105.069804,3,3,7,1911,6022,1996,2014-06-30,426001,2011-11-29,360000,537373
19932183,4859 S Hoyt St,Denver,CO,80123,39.628993,-105.105872,3,2,5,1402,6500,1982,2008-06-06,185000,2001-06-18,205000,338012
21691698,4862 S Jellison St,Denver,CO,80123,39.629129,-105.107348,3,2,5,1402,6300,1982,2015-03-26,290000,2004-03-06,208000,339510
51229719,5015 S Independence Way,Denver,CO,80123,39.625712,-105.105558,4,2,6,1402,6500,1983,1999-03-09,145000,,,341070
51527691,6900 W Grant Ranch Blvd # 32,Denver,CO,80123,39.618343,-105.077086,2,2,6,1658,4810,1999,2000-03-01,321500,,,475961
184196317,6900 W Grant Ranch Blvd # 7,Denver,CO,80123,39.618343,-105.077086,2,2,6,1658,4594,1998,1999-05-24,237500,,,476212
39831626,6900 W Grant Ranch Blvd # 33,Denver,CO,80123,39.618343,-105.077086,2,3,6,1658,5102,1999,2004-07-07,505000,2002-07-25,550000,486693
224523,5976 W Crestline Ave,Denver,CO,80123,39.618108,-105.062069,3,4,7,1914,5101,1998,2014-07-15,381400,2005-06-21,300000,478615
39845657,5386 S Gray St,Denver,CO,80123,39.619046,-105.061308,3,4,7,1914,5600,1998,2004-07-06,312000,1999-10-13,254500,481630
184339938,5565 S Lamar St,Denver,CO,80123,39.616136,-105.067951,3,3,7,2427,6420,1997,1998-05-06,227300,,,519776
15987693,5490 S Gray St,Denver,CO,80123,39.617823,-105.06084,3,3,6,1664,5491,1999,2008-02-27,299000,2003-05-09,276500,442875
10485953,5991 W Crestline Ave,Denver,CO,80123,39.618525,-105.062261,3,3,6,1664,6632,1998,2008-03-25,287000,2008-01-24,0,471085
4115344,5317 S Ingalls St,Denver,CO,80123,39.620887,-105.064429,3,3,8,2176,5008,1998,2016-10-27,475000,2005-01-07,299000,486655
184330305,4890 S Estes Way,Denver,CO,80123,39.628382,-105.097379,2,2,4,1921,14165,1982,2013-07-10,259000,,,378710
184746930,6017 W Progress Ave,Denver,CO,80123,39.621392,-105.060916,4,4,8,2179,6129,1998,2017-05-03,550000,2016-06-02,515000,545685
4115350,6040 W Prentice Ave,Denver,CO,80123,39.620717,-105.062038,4,4,8,2179,6148,1998,2009-04-06,367000,2004-07-16,349000,517562
29381871,5314 S Harlan Way,Denver,CO,80123,39.620211,-105.061114,4,3,8,2180,5300,1998,2015-01-07,379500,2014-04-10,364900,485209
39563450,4652 S Jellison St,Denver,CO,80123,39.632411,-105.106868,4,2,7,1669,6500,1978,2004-08-05,208000,,,347102
184623175,4957 S Wadsworth Blvd,Denver,CO,80123,39.6269,-105.08199,3,3,0,1925,4050,2007,2013-11-19,328000,2009-01-13,267000,417243
39792989,6575 W Sumac Ave,Denver,CO,80123,39.615145,-105.069409,3,3,6,1925,5835,1996,2012-09-21,355000,2004-09-16,316500,528179
184623177,4977 S Wadsworth Blvd,Denver,CO,80123,39.62665,-105.08199,3,3,0,1925,4050,2007,2007-02-21,306249,,,414342
184623178,4997 S Wadsworth Blvd,Denver,CO,80123,39.62639,-105.082,4,3,0,2445,4050,2007,2017-04-03,450000,2013-08-08,355000,461230
184623174,4947 S Wadsworth Blvd,Denver,CO,80123,39.62703,-105.08199,3,3,0,2445,4410,2007,2015-12-24,405000,2015-06-25,325000,461609
30575059,6800 W Crestline Ave,Denver,CO,80123,39.618331,-105.073298,4,6,10,5009,20400,1997,2013-09-12,660000,2007-01-18,966000,1128599
22183821,4367 W Grand Ave,Denver,CO,80123,39.630468,-105.042554,3,2,5,1171,9000,1964,2014-09-08,254500,,,374702
16334074,4871 S Garrison St,Denver,CO,80123,39.627151,-105.102028,3,2,6,1172,6800,1981,1999-01-11,139900,,,349196
39777784,4965 S Flower Way,Denver,CO,80123,39.625296,-105.100425,3,2,6,1172,8320,1980,2004-05-17,202500,,,352782
51201355,4885 S Flower Way,Denver,CO,80123,39.626619,-105.101333,3,3,6,1172,7040,1980,2000-08-02,176500,,,350568
15823195,4893 S Field Way,Denver,CO,80123,39.627205,-105.100023,3,3,6,1172,8000,1980,2017-05-04,357000,2013-09-18,240000,360593
51110105,8930 W Bellwood Pl,Denver,CO,80123,39.624647,-105.097475,3,3,6,1172,10708,1980,2013-12-03,235000,1999-12-16,146000,360437
10311771,3945 W Monmouth Ave,Denver,CO,80123,39.627277,-105.038215,3,3,5,1174,9600,1961,2006-05-09,205200,,,327620
141806879,4743 S Newton St,Denver,CO,80123,39.630588,-105.037256,3,3,5,1174,9000,1959,2009-06-11,212000,,,373201
184335547,3997 W Grand Ave,Denver,CO,80123,39.628847,-105.039013,3,3,6,1174,9000,1961,2016-09-07,304000,,,357022
39837027,5310 S Newland Ct,Denver,CO,80123,39.61829,-105.070201,5,7,10,4506,27931,2000,2016-04-29,1101000,2014-04-22,975000,1222940
3523929,6370 W Crestline Ave,Denver,CO,80123,39.617374,-105.067825,4,3,9,3229,11894,1999,2004-07-13,560000,2001-03-09,4475900,721755
155301362,4789 S Lowell Blvd,Denver,CO,80123,39.62968,-105.035151,3,3,5,1182,10400,1960,2010-09-21,150000,2010-03-05,0,375527
11612702,4760 S Meade St,Denver,CO,80123,39.630167,-105.035607,3,2,5,1182,9750,1959,2011-06-30,223000,2008-02-06,0,382073
43197000,3691 W Saratoga Ave,Denver,CO,80123,39.628823,-105.035767,3,3,5,1182,13100,1959,2004-07-21,210000,2003-04-17,0,350568
25727376,4870 S Holland Ct,Denver,CO,80123,39.62818,-105.104877,2,2,4,1441,6480,1983,2012-05-02,205000,2011-09-30,142000,342119
24335543,5041 S Garrison St,Denver,CO,80123,39.625472,-105.102191,3,3,6,1445,7500,1981,2002-07-05,224600,2000-06-08,182500,350819
11586489,4917 S Flower Way,Denver,CO,80123,39.625882,-105.10138,3,3,6,1445,6500,1980,2007-01-10,173500,2004-11-09,144945,350152
39775914,4868 S Flower Way,Denver,CO,80123,39.627093,-105.100494,3,3,6,1445,8470,1980,2004-05-18,206500,,,357988
184196318,6900 W Grant Ranch Blvd # 8,Denver,CO,80123,39.618343,-105.077086,3,3,7,2215,4500,1998,2015-10-22,430000,2000-02-01,303700,510772
13422838,5654 S Ingalls St,Denver,CO,80123,39.615608,-105.06481,4,3,9,2727,6420,1997,2008-02-21,340000,2008-01-03,0,535801
19591635,9055 W Bellwood Pl,Denver,CO,80123,39.625016,-105.0999,3,2,6,1453,7982,1980,2006-05-13,212000,,,349996
10891359,5362 S Gray St,Denver,CO,80123,39.619913,-105.062226,3,3,6,1453,5217,1999,2010-12-23,232000,2010-08-26,0,429955
39710207,4525 S Independence St,Denver,CO,80123,39.634375,-105.105276,3,2,6,1710,6000,1977,2009-06-02,213000,2004-07-06,219950,348776
184333825,4552 S Jellison St,Denver,CO,80123,39.633447,-105.106745,3,2,6,1710,7561,1977,2012-07-10,195000,,,349621
12902409,4662 S Jellison St,Denver,CO,80123,39.63224,-105.106865,3,2,6,1710,6000,1978,2015-05-28,279750,2007-03-13,195000,350350
184328733,8922 W Stanford Ave,Denver,CO,80123,39.634426,-105.097293,3,3,6,1710,6640,1979,1998-06-02,131000,,,348591
19836345,4524 S Garland Way,Denver,CO,80123,39.634389,-105.102098,3,2,10,1710,6000,1977,2009-10-12,190000,,,346838
184328736,8893 W Stetson Pl,Denver,CO,80123,39.634166,-105.096913,3,2,6,1710,6500,1979,2007-07-25,205000,,,350833
21448582,4683 S Hoyt St,Denver,CO,80123,39.631672,-105.104945,3,2,6,1710,9510,1978,2002-10-28,210000,,,356732
184196355,6700 W Dorado Dr # 29,Denver,CO,80123,39.61454,-105.07135,1,3,5,1966,7353,1998,1998-02-01,2227300,,,631731
20018417,4779 S Lowell Blvd,Denver,CO,80123,39.629899,-105.035148,3,3,5,1455,10400,1960,2000-02-28,174900,,,369824
39831631,6900 W Grant Ranch Blvd # 71,Denver,CO,80123,39.618343,-105.077086,2,2,5,1714,4835,1999,2011-06-30,329500,2005-01-13,367500,471636
15837642,6900 W Grant Ranch Blvd # 85,Denver,CO,80123,39.618343,-105.077086,2,3,7,1714,6605,1998,2012-03-05,387000,2007-10-31,425000,523327
184340014,6900 W Grant Ranch Blvd # 48,Denver,CO,80123,39.618343,-105.077086,2,3,5,1714,4497,1999,1999-11-29,265900,,265900,482063
39581541,9795 W Wagon Trail Dr,Denver,CO,80123,39.631062,-105.106771,3,2,6,1204,6973,1983,2014-11-18,266000,2004-08-03,208000,360285
31635905,9406 W Wagon Trail Cir,Denver,CO,80123,39.628697,-105.103525,3,3,5,1205,6910,1983,2015-05-08,302000,2015-02-12,199900,354619
39615197,7400 W Grant Ranch Blvd # 38,Denver,CO,80123,39.61844,-105.0799,2,3,5,1718,6843,1996,2011-12-08,444000,2004-03-02,485000,619721
26784264,8083 W Chenango Pl,Denver,CO,80123,39.62696,-105.086488,2,3,5,1464,6790,1987,2009-04-08,260000,2004-07-16,252000,377941
51064940,6091 W Progress Ave,Denver,CO,80123,39.622527,-105.063398,3,3,6,1978,10492,1998,2009-07-13,363000,1999-07-27,244800,495550
30780429,4987 S Wadsworth Blvd,Denver,CO,80123,39.62652,-105.082,4,3,0,2236,4050,2007,2016-05-23,417500,2012-10-25,330000,453661
184196331,7400 W Grant Ranch Blvd # 23,Denver,CO,80123,39.61844,-105.0799,2,2,5,1730,4699,1997,2013-10-21,350000,1998-07-28,222700,485689
30405705,7400 W Grant Ranch Blvd # 11,Denver,CO,80123,39.61844,-105.0799,2,3,5,1730,7123,1997,2006-08-25,430000,1998-03-18,284600,507318
3493383,9251 W Stanford Ave,Denver,CO,80123,39.634946,-105.101534,3,2,6,1986,6000,1977,2014-01-15,252000,2004-07-28,224900,355160
144657598,6700 W Dorado Dr # 20,Denver,CO,80123,39.61454,-105.07135,1,4,5,1987,6050,1999,2009-09-01,625000,2000-04-26,471200,718635
51514373,6700 W Dorado Dr # 2,Denver,CO,80123,39.61454,-105.07135,1,4,5,1989,8607,1999,2015-07-09,627000,2000-01-12,368600,650683
26784189,9865 W Wagon Trail Dr,Denver,CO,80123,39.631028,-105.107477,4,2,6,1490,6500,1983,2008-06-05,225000,2004-07-30,174000,351251
39666023,5925 W Sumac Ave,Denver,CO,80123,39.615189,-105.061504,3,4,7,1746,6000,1997,2011-07-25,320500,2004-07-08,302000,485805
51119961,4534 S Independence St,Denver,CO,80123,39.634206,-105.104761,3,2,6,1492,6154,1977,1999-08-03,155000,,,340185
51187557,6900 W Grant Ranch Blvd # 75,Denver,CO,80123,39.618343,-105.077086,2,2,5,1495,4389,1999,2000-01-20,249800,,,452613
51187552,6900 W Grant Ranch Blvd # 45,Denver,CO,80123,39.618343,-105.077086,2,3,5,1495,6336,1999,2012-07-03,389900,2000-02-04,262700,511283
39831630,6900 W Grant Ranch Blvd # 68,Denver,CO,80123,39.618343,-105.077086,2,3,5,1495,5584,1999,2005-06-07,378500,1999-10-11,232500,501654
21453637,4161 W Wagon Trail Dr,Denver,CO,80123,39.631272,-105.040627,3,3,5,1243,9000,1964,2013-06-07,249000,2001-09-07,186000,377254
43148116,6900 W Grant Ranch Blvd # 78,Denver,CO,80123,39.618343,-105.077086,2,2,7,1757,8443,1999,2003-04-17,416500,2000-04-21,312100,472736
43124073,6700 W Dorado Dr # 13,Denver,CO,80123,39.61454,-105.07135,1,4,5,2013,9212,2000,2012-11-20,525000,2003-06-09,532000,722190
51527693,6900 W Grant Ranch Blvd # 40,Denver,CO,80123,39.618343,-105.077086,2,4,6,2016,4613,1999,2000-04-21,458200,,,496850
184335817,5454 W Prentice Cir,Denver,CO,80123,39.618614,-105.057666,4,4,9,3040,8250,1997,1998-06-18,388300,,,650195
22399817,4660 S Everett St,Denver,CO,80123,39.632417,-105.096773,3,2,7,1761,7400,1979,2002-06-11,208900,,,357202
3751967,8940 W Tufts Ave,Denver,CO,80123,39.632999,-105.097732,4,3,7,1761,6520,1979,2013-08-16,266500,2008-09-17,202202,358521
147207700,4595 S Estes St,Denver,CO,80123,39.633229,-105.096409,4,3,8,1761,7400,1979,2010-11-04,210000,2010-09-16,0,358295
12995370,8731 W Stanford Ave,Denver,CO,80123,39.634949,-105.095572,4,2,7,1761,7170,1978,2010-11-03,107000,2007-02-09,170000,351624
16661975,4914 S Flower Way,Denver,CO,80123,39.626047,-105.100879,2,1,6,2017,6254,1980,2017-01-06,342500,1980-12-01,59900,354661
14275016,4858 S Hoyt St,Denver,CO,80123,39.628755,-105.10544,2,2,4,1250,6500,1983,2016-12-05,340500,2007-12-14,153191,352567
14923126,6555 W Sumac Ave,Denver,CO,80123,39.615144,-105.069214,3,4,7,2018,5918,1996,2007-09-06,370000,2004-07-12,327000,515108
21691695,4912 S Hoyt St,Denver,CO,80123,39.627927,-105.105827,3,2,5,996,6500,1983,2008-05-30,204000,1999-06-11,155500,342334
27204742,9410 W Wagon Trail Dr,Denver,CO,80123,39.629366,-105.10318,3,1,5,996,6300,1983,2013-11-19,215000,1983-10-01,80600,353345
25727381,4895 S Holland St,Denver,CO,80123,39.627658,-105.104756,3,2,5,996,7170,1983,2012-11-08,185000,2003-12-17,209900,355522
51064597,6077 W Progress Ave,Denver,CO,80123,39.62213,-105.063007,2,3,6,1509,5500,1999,2014-04-01,364000,2013-05-31,335000,496695
184341756,5650 S Gray St,Denver,CO,80123,39.615495,-105.060831,3,4,7,1766,5491,1998,2013-08-19,337000,,,497017
13166100,6900 W Grant Ranch Blvd # 84,Denver,CO,80123,39.618343,-105.077086,2,2,6,1769,5707,1998,2006-07-18,364700,1999-08-02,264600,478928
184340024,6900 W Grant Ranch Blvd # 83,Denver,CO,80123,39.618343,-105.077086,2,3,6,1769,4702,1998,1999-08-03,260700,,,487212
184335814,5544 W Prentice Cir,Denver,CO,80123,39.620449,-105.059684,4,5,8,3817,8250,1998,1998-12-09,431500,,,742340
39845381,5365 S Otis Ct,Denver,CO,80123,39.61834,-105.071824,4,5,9,4073,21851,1999,2009-05-04,880000,2004-12-22,910000,1143014
43050828,4386 W Bellewood Dr,Denver,CO,80123,39.628258,-105.043881,3,1,6,1007,12300,1973,2003-09-04,180900,,,349579
26983939,5430 W Prentice Cir,Denver,CO,80123,39.617936,-105.058447,4,4,10,3055,13360,1997,1998-06-03,387700,,,601300
43209234,9725 W Wagon Trail Dr,Denver,CO,80123,39.63084,-105.105838,3,2,6,1520,6500,1981,2003-09-03,199400,,,355119
43101482,8793 W Stetson Pl,Denver,CO,80123,39.634164,-105.095958,4,3,6,1776,6880,1979,2003-03-08,192000,2001-07-25,170900,340942
184328722,4654 S Estes St,Denver,CO,80123,39.632363,-105.095879,2,2,7,1524,7100,1979,2013-07-01,235000,,,357800
43090955,6440 W Sumac Ave,Denver,CO,80123,39.614539,-105.06803,3,3,7,2292,6824,1997,2003-08-15,340000,1998-02-27,255000,519744
12902408,4545 S Garland Way,Denver,CO,80123,39.634029,-105.102625,2,2,5,1018,7360,1977,2015-08-10,285100,2009-09-02,220000,352755
3751968,4585 S Estes St,Denver,CO,80123,39.633416,-105.096407,3,2,5,1019,6100,1979,2008-08-19,167000,2008-07-28,163250,350930
18719719,9241 W Stanford Ave,Denver,CO,80123,39.634948,-105.101308,3,1,6,1019,6500,1977,2003-06-05,185980,2001-01-05,160000,301080
3493385,4554 S Garland Way,Denver,CO,80123,39.634049,-105.102099,3,1,6,1019,6502,1977,2015-06-09,246000,2009-06-26,176000,301027
3493384,4582 S Gar Way,Denver,CO,80123,39.633424,-105.101489,3,1,6,1019,6913,1977,2004-07-20,187000,2003-06-17,183500,299492
3210296,9456 W Wagon Trail Cir,Denver,CO,80123,39.629424,-105.1044,3,2,6,1276,10100,1983,2004-12-23,207900,,,335384
184291110,1905 Division St,Denver,CO,80202,39.757914,-104.998132,1,1,4,753,2870,1886,2017-04-19,1350902,2016-06-17,1338698,1461697
184317294,432 N Pearl St,Denver,CO,80203,39.723117,-104.979622,2,2,9,1792,7813,1906,1998-09-09,230000,,,592298
